,netspend,volume,packs,brand,market,region,store,gweight,date
0,14.68,11.51,2,brand_20,market_3,region_5,store_4,44490,2020-11-21
1,1.97,5.679,5,brand_1,market_1,region_3,store_4,22727,2024-03-20
2,16.76,17.638,3,brand_10,market_2,region_4,store_3,34894,2021-05-31
3,15.95,2.345,2,brand_12,market_2,region_3,store_1,24450,2022-12-03
4,9.29,6.267,2,brand_3,market_3,region_5,store_4,8842,2020-06-05
5,15.6,15.648,1,brand_28,market_3,region_5,store_1,48705,2020-08-14
6,13.0,6.502,3,brand_10,market_2,region_6,store_2,14056,2022-03-12
7,4.26,9.606,4,brand_2,market_1,region_4,store_4,26641,2023-02-26
8,6.36,14.023,1,brand_27,market_5,region_6,store_4,4686,2023-11-29
9,3.62,10.864,4,brand_27,market_4,region_1,store_1,5234,2022-06-26
10,6.45,4.069,3,brand_30,market_1,region_2,store_2,36586,2022-01-04
11,11.96,9.202,3,brand_24,market_3,region_4,store_3,18084,2021-01-30
12,10.96,17.176,4,brand_9,market_3,region_7,store_1,47988,2024-05-13
13,15.38,18.941,1,brand_7,market_3,region_6,store_1,41437,2020-05-05
14,14.01,17.274,4,brand_14,market_1,region_3,store_2,3696,2020-05-01
15,16.09,12.877,5,brand_24,market_2,region_1,store_1,14160,2023-06-01
16,6.95,2.389,2,brand_3,market_3,region_7,store_1,18427,2023-03-20
17,1.57,3.575,4,brand_2,market_1,region_3,store_2,36030,2020-08-14
18,14.33,6.673,1,brand_3,market_5,region_2,store_3,46103,2024-01-30
19,17.69,9.919,1,brand_13,market_1,region_3,store_2,36236,2021-10-11
20,8.4,2.906,4,brand_22,market_2,region_4,store_4,41219,2020-04-04
21,5.07,14.972,3,brand_10,market_3,region_1,store_2,35288,2023-12-10
22,12.32,8.831,5,brand_19,market_4,region_4,store_1,27260,2024-03-23
23,11.45,16.993,4,brand_24,market_4,region_2,store_3,35052,2023-01-03
24,4.37,7.011,1,brand_23,market_5,region_5,store_1,9584,2022-04-05
25,2.55,5.718,3,brand_22,market_2,region_4,store_3,40477,2022-09-23
26,6.72,1.481,3,brand_4,market_1,region_4,store_1,12117,2022-06-27
27,4.98,3.815,3,brand_26,market_3,region_1,store_2,30743,2020-03-01
28,17.34,18.85,1,brand_11,market_2,region_6,store_2,1882,2021-05-30
29,1.1,19.023,1,brand_10,market_5,region_7,store_2,2756,2022-07-27
30,9.32,2.398,4,brand_1,market_5,region_7,store_3,37126,2020-02-11
31,16.61,19.493,1,brand_9,market_3,region_4,store_2,22919,2022-07-20
32,10.5,15.106,5,brand_15,market_2,region_6,store_2,1516,2023-03-06
33,13.41,11.101,1,brand_28,market_3,region_7,store_2,26020,2020-07-09
34,2.91,5.523,3,brand_2,market_2,region_5,store_1,24840,2024-03-09
35,10.17,8.34,1,brand_7,market_1,region_4,store_2,33228,2022-06-26
